"Project.ID","Deployment.Location.ID","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Deployment.ID","Camera.Failure.Details"
"Richardson","RICH01","2017-11-11","2018-04-10","D1",""
"Richardson","RICH02","2017-11-11","2018-04-10","D1",""
"Richardson","RICH03","2017-11-11","2017-12-18","D1","Snow covering majority of fov (>50%)"
"Richardson","RICH03","2018-01-17","2018-01-31","D1","Snow covering majority of fov (>50%)"
"Richardson","RICH03","2018-02-03","2018-04-10","D1",NA
"Richardson","RICH04","2017-11-11","2018-04-10","D1",""
"Richardson","RICH05","2017-11-11","2018-04-10","D1",""
"Richardson","RICH06","2017-11-11","2018-04-10","D1",""
"Richardson","RICH07","2017-11-11","2018-04-10","D1",""
"Richardson","RICH08","2017-11-11","2018-04-10","D1",""
"Richardson","RICH09","2017-11-12","2018-04-10","D1",""
"Richardson","RICH10","2017-11-11","2018-04-10","D1",""
"Richardson","RICH01","2018-04-10","2018-11-18","D2",""
"Richardson","RICH02","2018-04-10","2018-11-18","D2",""
"Richardson","RICH03","2018-04-10","2018-11-18","D2",""
"Richardson","RICH04","2018-04-10","2018-11-18","D2",""
"Richardson","RICH05","2018-04-10","2018-11-21","D2",""
"Richardson","RICH06","2018-04-10","2018-11-21","D2",""
"Richardson","RICH07","2018-04-10","2018-11-21","D2",""
"Richardson","RICH08","2018-04-10","2018-11-21","D2",""
"Richardson","RICH09","2018-04-10","2018-11-21","D2",""
"Richardson","RICH10","2018-04-10","2018-11-18","D2",""
"Richardson","RICH01","2018-11-18","2019-04-05","D3",""
"Richardson","RICH02","2018-11-18","2019-04-05","D3",""
"Richardson","RICH03","2018-11-18","2018-12-26","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH03","2019-01-01","2019-01-08","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH03","2019-01-11","2019-02-03","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH03","2019-02-08","2019-04-05","D3",NA
"Richardson","RICH04","2018-11-18","2019-04-05","D3",""
"Richardson","RICH05","2018-11-21","2019-04-05","D3",""
"Richardson","RICH06","2018-11-21","2018-12-15","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH06","2018-12-19","2018-12-21","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH06","2018-12-24","2019-01-09","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH06","2019-01-10","2019-04-05","D3",NA
"Richardson","RICH07","2018-11-21","2018-12-26","D3","Snow covering majority of fov (>50%)"
"Richardson","RICH07","2018-12-27","2019-04-05","D3",NA
"Richardson","RICH08","2018-11-21","2019-04-05","D3",""
"Richardson","RICH09","2018-11-21","2019-04-05","D3",""
"Richardson","RICH10","2018-11-18","2019-04-05","D3",""
